ANIMAL,POLLUTANT,FACILITYTYPE,FACILITY TYPE DETAIL,EQUATION,CycleDay,Temperature,LAW,AmbRH,Windspeed,Inventory,PARAMETERSNEEDED,ei,C,k,UNITS,NOTES,EQFUNCT
DAIRY,NH3,MechanicallyVentilated,Flush,eqd1,0,1,0,0,0,1,"Temperature, Inventory",1.03966,3,999,kg/day,NA,"function(Inventory,Temperature){1.746585+1.773832*Inventory}"
DAIRY,NH3,MechanicallyVentilated,Scrape,eqd2,0,1,0,0,0,1,"Temperature, Inventory",1.03966,3,999,kg/day,NA,"function(Inventory,Temperature){1.864935+1.773832*Inventory+0.029586*Temperature}"
DAIRY,H2S,MechanicallyVentilated,Flush,eqd3,0,1,0,0,0,1,"Temperature, Inventory",1.11434,628,999,grams/day,NA,"function(Inventory,Temperature){7.406887+0.86173*Inventory+ 0.012786*Temperature}"
DAIRY,H2S,MechanicallyVentilated,Scrape,eqd4,0,1,0,0,0,1,"Temperature, Inventory",1.11434,628,999,grams/day,NA,"function(Inventory,Temperature){6.287004+0.86173*Inventory+0.012786*Temperature}"
DAIRY,NH3,Milking,DEFAULT,eqd5,0,1,0,0,0,0,Temperature,1.21693,3,999,grams/day/hd,NA,function(Temperature){2.505637+0.046434*Temperature}
DAIRY,H2S,Milking,DEFAULT,eqd6,0,1,0,0,0,0,Temperature,1.30119,628,999,kg/day/hd,NA,function(Temperature){6.898188+0.024053*Temperature}
DAIRY,PM10,Milking,DEFAULT,eqd7,0,1,0,1,0,0,"Temperature, AmbRH",1.0057,2200,999,grams/day/hd,NA,"function(Temperature,AmbRH){8.042215+0.006791*Temperature-0.003552*AmbRH}"
DAIRY,PM2.5,Milking,DEFAULT,eqd8,0,1,0,0,0,0,Temperature,1.00796,680,999,grams/day/hd,NA,function(Temperature){6.58377+0.006698*Temperature}
DAIRY,TSP,Milking,DEFAULT,eqd9,0,1,0,1,0,0,"Temperature, AmbRH",1.0311,978,999,grams/day/hd,NA,"function(Temperature,AmbRH){7.457268+0.010997*Temperature-0.003639*AmbRH}"
DAIRY,NH3,NaturallyVentilated,DEFAULT,eqd10,0,0,0,0,1,1,"Windspeed, Inventory",1.46499,3,999,grams/day,NA,"function(Inventory,Windspeed){0.188357+3.451939*Inventory+0.048153*Windspeed}"
DAIRY,H2S,NaturallyVentilated,DEFAULT,eqd11,0,0,0,0,1,1,"Windspeed, Inventory",1.23366,628,999,kg/day,NA,"function(Inventory,Windspeed){6.541057+0.587702*Inventory+0.062678*Windspeed}"
DAIRY,PM10,NaturallyVentilated,DEFAULT,eqd12,0,1,0,1,1,1,"Temperature, AmbRH, Windspeed, Inventory",1.27211,2200,999,grams/day,NA,"function(Inventory,Temperature,AmbRH,Windspeed){7.64258+1.525009*Inventory+0.011864*Temperature-0.01521*AmbRH+0.173698*Windspeed}"
DAIRY,PM2.5,NaturallyVentilated,DEFAULT,eqd13,0,1,0,1,1,1,"Temperature, AmbRH, Windspeed, Inventory",1.33005,680,999,grams/day,NA,"function(Inventory,Temperature,AmbRH,Windspeed){7.068797-0.220453*Inventory+0.01121*Temperature-0.003808*AmbRH+0.218968*Windspeed}"
DAIRY,TSP,NaturallyVentilated,DEFAULT,eqd14,0,1,0,1,1,1,"Temperature, AmbRH, Windspeed, Inventory",1.25126,978,999,grams/day,NA,"function(Inventory,Temperature,AmbRH,Windspeed){7.868847+2.953893*Inventory+0.034508*Temperature-0.033997*AmbRH+0.248191*Windspeed}"
DAIRY,NH3,Lagoon,DEFAULT,eqd15,0,1,0,0,0,0,Temperature,1.0079,3,999,kg/day/m2,NA,function(Temperature){1.396734+0.027201*Temperature}
DAIRY,H2S,Lagoon,DEFAULT,eqd16,0,1,0,0,0,0,Temperature,1.03006,3,999,kg/day/m2,NA,function(Temperature){1.189272+0.010557*Temperature}
DAIRY,NH3,Corrals,DEFAULT,eqd17,0,1,0,1,1,0,"Temperature, AmbRH, Windspeed",1.0066,3,999,grams/day/m2/thousand hd,NA,"function(Temperature,AmbRH,Windspeed){1.053805+0.004993*Temperature+0.0031*AmbRH+0.017832*Windspeed}"
DAIRY,H2S,Corrals,DEFAULT,eqd18,0,0,0,1,0,0,AmbRH,1.00007,3,999,grams/day/m2/thousand hd,NA,function(AmbRH){2.404792+0.007177*AmbRH}
POULTRY,NH3,Broiler,DEFAULT,eqb1,0,1,1,1,0,0,"Temperature, AmbRH, LAW",1.10605,2,999,kg,NA,"function(LAW,Temperature,AmbRH){1.60581+0.008532*LAW+0.020739*Temperature+0.004038*AmbRH}"
